Day,PopName,x,y,z
0,B,10.000273013584174,9.998065262622188,10.010382354205817
0,A,29.971602567545023,29.95975557238502,29.990495056860016
1,A,30.02295279004682,29.985816751293612,29.965800394232016
1,B,10.423530483465534,10.367446066123147,10.403545600144177
2,A,30.04095738949883,30.011883220421588,30.023730277986864
2,B,10.592029303817009,10.601301533522417,10.588826685979575
3,B,11.020575466319158,11.011521468274383,11.007051051242408
3,D,23.040754745986224,30.0050135677632,29.955035577888093
3,C,32.94737278487987,29.982607491681545,29.970497253305474
4,B,10.977177508214613,11.010124895431398,11.005659641747192
4,D,21.04430926064938,29.990996076396186,30.011364305968243
4,C,35.01920391790798,29.985396951983205,30.062171042499816
