id,cluster_id,x,y,z
0,A,33.9,30.7,29.3
1,B,10.4,13.9,10.9
2,B,10.0,10.3,11.0
3,B,9.75,8.56,8.91
4,B,10.5,11.0,10.0
5,A,29.499999999999996,30.099999999999998,28.2
6,A,25.4,31.0,29.1
7,A,32.9,28.7,31.7
8,B,9.54,10.1,10.9
9,B,8.14,10.1,9.51
10,C,35.6,32.1,30.7
11,B,10.1,10.2,10.1
12,B,10.800000000000002,10.1,11.0
13,B,12.4,7.94,10.8
14,B,11.3,10.2,11.7
15,B,9.25,10.2,12.5
16,B,10.3,10.5,9.43
17,B,11.499999999999998,10.3,10.9
18,B,13.0,10.7,9.64
19,B,9.61,13.099999999999998,10.3
20,B,13.0,9.71,10.4
21,B,11.399999999999999,11.5,9.64
22,B,9.85,10.8,11.9
23,B,9.25,12.9,10.4
24,B,11.100000000000001,10.8,9.74
25,B,11.000000000000002,9.58,10.3
26,A,28.900000000000002,30.0,28.5
27,B,12.4,10.1,10.3
28,B,11.399999999999999,11.0,12.3
29,B,9.8,9.74,10.9
30,B,10.3,10.2,10.2
31,B,9.97,11.1,7.6
32,B,10.6,13.4,8.48
33,B,13.1,10.1,11.0
34,B,11.399999999999999,9.89,7.86
35,B,10.900000000000002,10.5,13.3
36,B,10.1,11.4,9.950000000000001
37,B,8.93,9.44,9.64
38,A,27.3,30.4,29.0
39,B,8.4,10.4,9.03
40,B,11.3,10.6,11.2
41,A,26.4,29.4,31.2
42,A,29.400000000000002,29.6,28.5
43,B,11.3,12.7,10.1
44,B,10.5,8.98,10.1
45,B,10.3,11.5,11.1
46,B,11.499999999999998,11.9,10.8
47,B,9.62,9.36,11.3
48,B,9.21,9.13,11.2
49,C,36.4,31.3,31.5
50,B,12.6,10.8,10.9
51,B,13.1,10.2,9.42
52,B,12.3,10.2,10.5
53,B,10.1,11.3,12.3
54,B,11.3,9.42,9.63
55,B,10.4,11.3,10.599999999999998
56,B,9.5,10.8,10.5
57,B,12.9,10.4,12.0
58,A,32.1,29.1,30.5
59,A,29.899999999999995,30.3,29.5
60,B,11.000000000000002,9.36,7.94
61,None,34.4,16.6,27.2
62,B,11.399999999999999,12.2,9.2
63,B,10.4,9.14,9.72
64,B,10.3,8.07,10.2
65,B,10.3,7.45,10.4
66,B,8.9,10.1,9.3
67,B,10.900000000000002,12.6,10.2
68,B,10.800000000000002,9.91,10.2
69,A,30.2,30.0,31.5
70,B,11.200000000000001,9.82,13.3
71,B,10.4,11.6,8.290000000000001
72,A,30.7,28.7,29.5
73,B,11.3,10.7,10.4
74,A,31.4,29.4,29.0
75,B,10.0,11.0,8.61
76,B,11.699999999999998,11.5,8.460000000000003
77,B,11.3,11.3,9.04
78,A,31.5,31.2,32.9
79,A,30.0,30.099999999999998,28.8
80,B,10.4,9.57,12.2
81,B,9.5,10.3,9.74
82,A,33.1,30.6,30.7
83,B,10.900000000000002,9.0,10.8
84,B,9.27,10.3,11.0
85,B,11.200000000000001,12.2,11.0
86,B,13.1,10.5,10.7
87,B,8.9,9.7,9.97
88,B,7.95,10.7,10.5
89,B,12.3,11.4,10.4
90,B,10.6,11.4,10.3
91,B,13.1,10.5,12.1
92,B,10.3,10.3,10.599999999999998
93,B,12.5,10.1,11.9
94,B,12.2,9.51,10.9
95,B,9.36,11.0,9.48
96,A,33.6,30.2,29.4
97,A,31.3,28.3,30.9
98,B,8.84,10.1,10.2
99,A,30.8,30.9,29.2
100,B,8.37,11.3,8.15
101,B,11.599999999999998,7.98,12.4
102,B,10.7,11.200000000000001,11.1
103,B,12.2,10.2,9.57
104,B,9.48,11.200000000000001,9.92
105,A,30.9,30.9,31.9
106,B,8.71,9.98,10.1
107,B,9.96,13.8,8.67
108,B,12.6,10.2,10.599999999999998
109,B,11.499999999999998,10.9,12.7
110,B,10.1,10.3,13.0
111,B,9.76,8.89,11.6
112,B,10.4,11.7,9.39
113,B,11.8,9.7,9.41
114,B,12.6,11.6,11.6
115,B,8.57,10.7,10.8
116,B,9.84,11.200000000000001,11.7
117,B,8.34,9.670000000000002,10.2
118,B,10.3,10.5,9.82
119,B,9.76,11.3,10.4
120,B,8.52,9.6,10.599999999999998
121,B,12.3,10.7,9.54
122,B,8.91,10.6,10.3
123,B,9.83,9.59,10.4
124,B,11.200000000000001,9.08,9.96
125,A,32.5,30.8,30.5
126,B,9.25,11.1,10.7
127,B,12.8,10.2,8.48
128,A,29.3,30.2,30.2
129,B,10.2,13.099999999999998,9.950000000000001
130,A,25.4,30.3,31.7
131,None,18.2,24.7,32.9
132,A,26.3,29.3,30.1
133,A,30.2,31.1,28.4
134,A,31.9,30.5,30.8
135,B,10.900000000000002,11.5,10.1
136,B,10.1,11.200000000000001,10.3
137,B,10.6,9.160000000000002,11.5
138,None,29.6,7.92,16.7
139,B,8.31,10.0,12.7
140,B,11.3,10.3,10.0
141,B,8.46,8.76,8.49
142,B,11.499999999999998,9.64,11.1
143,B,8.83,11.7,11.8
144,B,10.7,10.1,12.4
145,B,10.3,10.2,12.2
146,B,10.1,10.5,9.37
147,B,8.3,9.22,11.1
148,A,26.9,30.099999999999998,29.5
149,C,33.7,30.5,29.0
150,A,30.5,30.9,29.3
151,B,10.3,10.6,10.2
152,B,13.6,9.15,9.55
153,B,11.100000000000001,10.4,10.7
154,A,32.2,30.8,29.7
155,B,10.6,12.3,10.599999999999998
156,B,8.61,9.96,10.3
157,B,11.100000000000001,9.99,12.5
158,B,9.69,10.4,13.7
159,B,9.16,10.7,11.0
160,B,12.3,8.650000000000002,11.0
161,B,8.11,10.2,11.0
162,B,10.6,11.5,11.6
163,B,10.5,10.7,9.26
164,None,37.0,10.0,26.9
165,A,30.9,30.5,31.3
166,A,27.5,30.099999999999998,29.8
167,A,31.2,29.0,28.9
168,B,13.5,9.21,9.53
169,B,13.800000000000002,11.4,9.56
170,B,9.74,12.8,9.68
171,B,9.07,12.5,11.0
172,B,13.1,10.9,9.48
173,B,8.51,7.86,9.89
174,B,10.1,9.04,13.1
175,B,11.200000000000001,11.0,12.9
176,B,11.499999999999998,10.2,10.7
177,C,35.0,30.9,30.2
178,B,9.79,10.2,10.599999999999998
179,B,11.100000000000001,9.51,13.5
180,B,11.399999999999999,11.1,11.8
181,B,9.59,9.58,10.1
182,A,29.3,30.7,28.8
