id,cluster_id,x,y,z
0,A|1,29.899999999999995,29.1,30.6
1,B,10.1,8.92,11.2
2,B,8.95,12.4,10.5
3,A,22.499999999999996,29.6,29.1
4,B,12.5,12.3,10.1
5,B,12.5,10.2,9.78
6,C,33.8,29.6,30.4
7,B,13.800000000000002,11.5,8.52
8,B,10.1,9.45,9.65
9,A|1,28.900000000000002,31.2,30.3
10,C,33.6,29.4,30.5
11,B,13.1,10.7,10.5
12,A|1,28.700000000000003,30.3,29.8
13,B,9.53,11.0,11.0
14,B,8.89,10.5,10.2
15,A,24.4,30.7,30.4
16,A|1,31.2,30.4,31.5
17,B,10.4,10.1,13.0
18,A|1,28.2,32.2,30.0
19,A|1,30.0,28.5,22.6
20,B,13.1,10.1,9.81
21,B,9.89,9.94,13.9
22,A,25.6,28.9,27.8
23,C,34.4,29.3,28.6
24,B,10.2,8.35,13.0
25,B,11.200000000000001,10.3,8.1
26,B,8.7,10.4,9.76
27,B,11.699999999999998,12.5,9.82
28,B,8.67,9.62,10.4
29,A|1,28.700000000000003,31.2,28.9
30,B,10.1,10.1,14.3
31,B,10.6,13.0,9.29
32,A,25.3,29.2,30.2
33,B,9.95,15.0,10.3
34,A|1,29.899999999999995,29.4,30.6
35,C,33.3,28.3,30.6
36,A|1,31.0,30.0,28.6
37,B,10.3,9.24,13.7
38,B,10.800000000000002,14.399999999999999,9.73
39,B,10.1,9.84,9.63
40,B,9.84,12.8,11.5
41,A|1,29.899999999999995,29.7,29.7
42,B,10.3,7.94,10.4
43,B,12.4,10.0,9.02
44,C,32.8,30.8,29.2
45,B,8.56,12.0,7.73
46,A,27.3,30.9,29.6
47,B,14.1,9.64,10.9
48,B,14.2,10.2,10.1
49,C,37.1,30.7,30.0
50,B,10.2,10.0,11.1
51,B,9.25,9.31,10.4
52,C,32.6,30.4,29.5
53,A,27.3,29.1,30.5
54,B,10.6,8.71,11.7
55,A,23.5,28.0,30.4
56,A|1,29.699999999999996,29.5,29.9
57,A,27.600000000000005,28.6,28.4
58,B,11.699999999999998,10.2,10.599999999999998
59,B,14.0,11.6,12.4
60,B,10.1,11.3,12.4
61,B,9.41,7.89,11.8
62,B,10.5,10.9,8.69
63,B,10.800000000000002,10.2,10.599999999999998
64,A,24.3,31.7,29.1
65,B,9.29,13.099999999999998,9.28
66,B,13.5,8.16,9.84
67,A|1,28.100000000000005,28.0,30.6
68,B,10.800000000000002,8.94,10.3
69,B,12.5,10.5,9.789999999999997
70,C,32.8,29.6,28.8
71,B,9.16,11.1,13.4
72,B,9.68,13.0,9.21
73,C,36.3,29.4,29.6
74,B,10.6,9.85,10.5
75,B,12.3,10.5,11.6
76,B,13.1,9.79,8.24
77,B,9.89,12.5,10.8
78,B,9.99,10.5,11.2
79,B,11.100000000000001,11.4,12.5
80,B,12.3,9.98,10.2
81,B,10.6,10.0,8.55
82,B,9.34,10.5,9.6
83,B,10.2,10.0,11.0
84,A|1,29.199999999999996,30.0,29.6
85,B,8.41,10.2,8.53
86,B,8.59,10.1,9.53
87,A,25.5,30.2,31.2
88,A,27.7,29.6,28.8
89,B,10.3,14.8,10.7
90,B,8.1,13.3,9.18
91,C,37.4,29.7,30.1
92,B,8.66,11.9,9.45
93,B,8.81,10.6,8.8
94,B,10.2,9.56,9.15
95,B,9.92,9.88,10.3
96,A|1,31.7,30.099999999999998,32.1
97,B,8.96,9.99,9.01
98,A|1,31.5,28.6,32.2
99,B,10.2,8.21,11.1
100,A,24.8,28.9,30.6
101,B,11.000000000000002,10.2,10.5
102,B,10.2,12.0,9.08
103,B,9.39,14.1,8.9
104,A,27.600000000000005,30.099999999999998,30.9
105,B,11.699999999999998,14.1,10.7
106,B,12.5,11.4,10.7
107,B,11.499999999999998,10.4,9.52
108,A,24.6,30.5,31.0
109,B,11.499999999999998,9.63,11.9
110,C,32.3,31.3,27.699999999999996
111,B,9.78,9.74,13.0
112,A|1,28.599999999999998,32.1,30.2
113,B,8.93,13.6,10.2
114,A|1,29.499999999999996,29.1,30.4
115,C,35.9,30.2,30.2
116,B,8.41,13.8,8.97
117,B,11.200000000000001,13.5,8.4
118,B,11.100000000000001,13.8,11.2
119,C,33.8,31.0,30.5
120,B,10.7,12.8,9.91
121,B,13.4,11.5,9.07
122,B,10.1,11.0,11.1
123,B,10.900000000000002,12.9,9.62
124,B,10.800000000000002,10.1,9.98
125,B,8.07,9.58,13.0
126,B,13.900000000000002,8.66,11.2
127,A,24.4,31.6,30.6
128,B,8.8,10.5,9.83
129,C,35.2,30.6,31.5
130,B,12.0,9.01,9.04
131,B,13.900000000000002,10.3,11.2
132,B,11.599999999999998,9.65,12.2
133,B,11.200000000000001,14.3,8.4
134,B,9.38,13.099999999999998,9.39
135,B,8.48,10.1,9.53
136,A|1,31.0,29.1,30.6
137,A|1,28.900000000000002,30.7,28.4
138,B,11.599999999999998,8.94,12.5
139,B,9.94,9.03,10.0
140,A|1,31.9,29.5,30.3
141,B,11.699999999999998,9.69,10.2
142,B,12.1,9.31,9.86
143,B,8.53,9.79,13.6
144,B,12.7,10.8,10.4
145,B,10.0,13.5,9.83
146,B,7.47,13.7,9.47
147,B,11.499999999999998,10.4,9.4
148,B,10.3,7.79,10.2
149,B,11.200000000000001,10.6,10.599999999999998
150,B,12.7,9.8,10.7
151,A,22.400000000000002,30.7,30.8
152,C,32.6,29.2,30.5
153,B,8.9,10.4,11.2
154,B,9.04,10.4,10.0
155,B,9.31,11.7,12.4
156,B,10.1,9.91,8.99
157,B,10.2,12.9,10.5
158,A,22.000000000000004,30.0,30.4
159,B,9.91,10.8,10.9
160,B,12.5,11.4,9.43
161,A|1,31.0,31.8,29.7
162,B,8.79,10.3,9.26
163,B,9.91,13.7,9.41
164,B,10.800000000000002,10.8,9.11
165,B,9.91,9.14,10.8
166,A|1,30.2,29.1,28.9
