Day,PopName,x,y,z
0,B,10.000273013584174,9.998065262622188,10.010382354205817
0,A,29.971602567545023,29.95975557238502,29.990495056860016
1,A,30.022952790064984,29.98581675140502,29.965800394169975
1,B,10.423530483438237,10.36744606608658,10.403545600131206
2,A,30.04095738949883,30.011883220421588,30.023730277986864
2,B,9.995977211474358,10.009040984526408,9.994481224249611
2,E,10.026786592183035,12.936925043092968,10.03714934636511
2,D,12.98618964555193,10.023210027838234,9.991201272535955
2,C,9.955215858401349,10.028290627628062,12.926820362497491
3,B,9.982298992319873,10.014562364083435,10.001702791649054
3,C,10.010709068290069,10.023118119888341,15.066825135301857
3,D,15.053454240614398,10.011560567758226,10.00077949576817
3,E,10.07411603805162,14.993803925558566,9.964245041843812
3,G,23.040754745986224,30.0050135677632,29.955035577888093
3,F,32.94737278487987,29.982607491681545,29.970497253305474
4,B,9.987947381342064,10.036218364398769,9.987496576803196
4,D,15.068508687395164,10.054233711566328,9.955703825078126
4,G,21.044309260649385,29.990996076396186,30.011364305968243
4,I,9.974193877371471,17.948429926545277,7.042288548301307
4,F,35.01920391790798,29.985396951983205,30.062171042499816
4,C,9.988365692962597,9.997227102985638,14.99783368151776
4,H,6.857345366781919,10.006490000490272,18.03262413390341
4,E,10.009469376435687,14.914247877322603,10.046990509450929
4,J,17.922102555830975,7.0357468778088466,10.031169412008
