x,y,z,PopName
10.1,10.2,10.1,B
14.8,10.2,10.6,D
9.7,12.6,9.3,B
10.4,10.7,10.0,B
10.2,11.0,9.4,B
24.2,30.0,29.2,G
9.6,9.0,9.5,B
10.7,10.5,9.7,B
8.4,16.7,8.3,I
20.4,29.8,29.5,G
10.1,9.8,9.6,B
36.4,29.9,29.7,F
10.1,10.4,10.1,B
36.2,31.0,31.3,F
10.5,9.6,18.0,C
10.7,10.5,10.0,B
19.8,30.6,31.7,G
10.5,9.0,11.3,B
10.9,12.1,9.2,B
32.0,29.7,28.6,F
6.2,9.2,18.4,H
7.6,9.6,19.2,H
35.7,30.8,28.3,F
6.5,8.5,18.8,H
9.8,8.8,9.4,B
11.0,11.2,7.6,B
10.1,8.4,18.1,H
8.7,9.2,10.6,B
10.7,13.5,10.5,E
22.0,29.5,30.2,G
17.1,8.3,10.0,J
11.3,17.3,3.8,I
10.1,8.3,10.9,B
9.2,18.6,11.1,I
8.9,16.2,10.4,E
35.5,30.9,30.2,F
35.1,29.8,29.0,F
10.5,10.7,16.5,C
18.3,10.6,10.7,D
33.7,29.6,30.7,F
10.3,9.3,10.4,B
10.7,9.6,10.1,B
10.5,8.9,14.0,C
21.7,30.8,30.6,G
23.0,30.1,30.8,G
10.0,9.9,13.7,C
33.8,31.1,30.8,F
10.5,8.3,9.8,B
8.5,10.4,8.2,B
9.9,13.7,10.0,E
9.2,14.7,10.5,E
38.2,30.2,30.5,F
10.1,10.8,10.7,B
10.1,11.4,15.8,C
10.1,9.3,14.7,C
10.1,15.6,10.3,E
9.3,9.3,8.9,B
15.0,9.7,11.6,D
16.1,10.9,11.2,D
8.8,10.0,12.9,C
22.4,28.6,31.5,G
8.2,10.2,9.9,B
11.8,9.9,11.1,B
10.1,9.0,11.5,B
9.8,18.2,10.8,I
12.4,9.6,12.9,C
36.1,28.4,30.9,F
10.0,18.3,7.2,I
32.5,31.3,28.1,F
10.8,10.6,9.4,B
2.4,11.1,18.1,H
13.6,10.1,9.0,D
6.1,11.1,17.2,H
10.5,11.5,13.3,C
8.7,12.4,11.2,B
18.8,4.6,10.7,J
10.2,17.1,8.2,I
9.5,14.3,9.5,E
21.0,32.0,30.4,G
9.9,10.6,11.2,B
35.3,30.1,29.6,F
8.0,9.6,18.4,H
34.6,28.3,30.0,F
9.7,19.4,6.4,I
11.1,10.8,9.5,B
9.5,15.9,10.3,E
8.9,15.3,10.0,E
17.3,9.2,10.8,J
9.1,16.0,4.9,I
17.3,28.8,29.1,G
9.6,8.6,9.7,B
10.8,5.1,11.1,Noise
10.1,9.3,14.4,C
9.3,9.1,9.9,B
8.7,10.1,17.8,C
35.1,31.2,30.3,F
8.9,10.0,8.5,B
9.9,11.7,8.8,B
17.7,6.9,12.4,J
8.5,7.8,17.5,H
10.3,8.8,17.7,H
11.2,19.0,9.9,I
10.7,13.7,10.7,E
5.2,10.6,18.1,H
8.8,9.7,14.6,C
34.4,29.2,31.1,F
21.0,29.4,30.7,G
17.8,8.5,10.7,J
9.0,17.7,4.2,I
6.5,11.9,17.0,H
10.2,9.0,12.6,B
8.5,14.9,9.8,E
32.9,30.7,29.8,F
9.6,10.9,8.4,B
10.7,11.2,10.0,B
17.7,5.7,9.9,J
7.4,11.7,18.6,C
11.6,8.9,8.6,B
14.1,8.6,9.4,D
10.4,19.3,7.9,E
8.7,9.7,18.3,C
36.2,30.9,28.8,F
19.1,9.4,10.5,D
9.3,9.0,9.8,C
10.9,10.3,18.6,H
35.8,30.2,29.3,F
11.3,16.1,10.8,E
6.8,10.4,19.2,H
10.2,9.4,10.2,B
11.0,10.4,18.8,H
10.2,17.6,6.1,I
9.6,9.4,10.5,B
9.2,10.8,15.5,C
10.0,10.7,8.6,B
11.0,11.1,10.3,E
34.6,28.3,27.7,F
23.6,29.3,29.6,G
5.9,9.9,20.1,H
9.2,8.7,9.0,B
5.4,10.0,18.2,H
37.1,30.9,31.0,F
10.3,9.1,17.9,C
9.9,17.4,9.8,I
16.3,8.0,9.2,D
10.3,8.0,9.4,B
17.2,6.8,10.4,J
9.4,10.7,10.9,B
5.2,9.6,18.6,H
18.5,6.5,10.0,J
10.2,11.4,10.9,B
10.4,10.8,11.0,B
16.6,9.9,9.3,D
9.9,10.3,9.9,B
10.7,11.8,10.4,B
7.5,9.9,14.5,C
24.1,32.7,30.0,G
19.0,28.4,30.6,G
18.2,9.9,10.6,J
16.4,6.2,8.9,J
9.0,17.2,7.4,I
9.7,10.6,11.5,B
11.1,11.1,9.9,B
10.0,17.7,9.8,E
11.0,11.5,9.4,B
10.1,10.5,9.9,B
7.8,11.1,17.9,H
33.7,30.9,30.2,F
18.4,9.8,10.3,D
15.7,11.4,11.8,D
9.5,9.9,18.8,H
7.2,17.7,10.4,I
11.8,9.7,10.3,B
36.6,29.5,30.5,F
9.2,9.7,7.2,B
11.8,8.7,11.1,D
21.7,30.0,30.2,G
17.7,5.2,9.9,J
16.5,9.2,10.1,J
9.8,11.5,11.4,B
9.0,10.1,17.0,H
18.6,6.9,10.8,J
17.4,9.6,10.4,D
10.6,9.2,8.7,B
21.9,27.6,30.1,G
23.4,29.4,28.7,G
10.4,10.6,11.0,B
36.0,31.8,28.8,F
8.8,9.8,16.6,H
21.1,30.0,31.2,G
33.4,29.0,29.5,F
16.8,6.5,9.9,J
22.8,30.0,28.9,G
16.4,10.8,10.4,D
9.3,11.5,10.2,B
11.0,16.0,9.1,E
8.8,17.4,6.8,I
19.9,30.8,30.9,G
11.0,10.7,9.2,B
17.1,10.1,9.9,J
11.7,9.9,9.3,B
10.3,10.5,8.9,B
10.1,9.7,17.0,C
9.9,10.3,13.4,C
10.8,9.7,10.1,B
9.0,10.6,10.7,B
9.8,14.9,8.8,E
17.9,5.8,9.7,J
7.4,8.9,17.0,H
9.3,8.6,10.4,B
18.0,27.8,30.9,G
18.9,5.6,11.2,J
9.4,15.9,11.6,E
11.5,14.5,10.6,E
10.6,10.5,9.1,B
21.4,30.4,30.1,G
10.6,10.8,9.8,B
8.0,8.3,18.2,H
9.3,8.5,9.5,B
10.0,16.8,10.1,E
8.7,8.3,9.2,B
15.4,8.5,10.0,D
38.3,28.3,29.9,F
34.0,30.2,31.3,F
38.5,29.4,30.6,F
8.7,8.6,10.8,B
37.8,29.6,29.6,F
8.5,11.1,14.2,C
8.5,9.9,10.5,B
8.7,10.2,10.6,B
32.8,28.6,32.0,F
9.9,9.0,11.4,B
6.5,9.2,12.0,C
34.2,30.2,28.9,F
34.4,30.4,30.1,F
13.4,9.1,9.9,D
9.9,9.7,15.7,C
36.3,32.3,29.1,F
11.1,8.9,12.0,B
10.9,9.5,10.0,B
9.1,10.9,10.6,B
10.2,9.3,12.4,B
23.0,30.6,31.4,G
10.1,9.9,11.8,B
